_id,tarih,tuketim_m_kup
1,2010-01-01,685629430
2,2010-02-01,553753612
3,2010-03-01,544038815
4,2010-04-01,266309794
5,2010-05-01,110498625
6,2010-06-01,78095586
7,2010-07-01,70042191
8,2010-08-01,66543691
9,2010-09-01,73820644
10,2010-10-01,228146946
11,2010-11-01,230157754
12,2010-12-01,570848164
13,2011-01-01,746542284
14,2011-02-01,708571311
15,2011-03-01,682718932
16,2011-04-01,524288932
17,2011-05-01,197805315
18,2011-06-01,90826671
19,2011-07-01,75939534
20,2011-08-01,76120849
21,2011-09-01,82177443
22,2011-10-01,289848165
23,2011-11-01,617310299
24,2011-12-01,690952574
25,2012-01-01,919511585
26,2012-02-01,914513954
27,2012-03-01,724220742
28,2012-04-01,272804701
29,2012-05-01,129558073
30,2012-06-01,91182255
31,2012-07-01,80303564
32,2012-08-01,75355099
33,2012-09-01,89332030
34,2012-10-01,110433025
35,2012-11-01,278524883
36,2012-12-01,752808573
37,2013-01-01,810189792
38,2013-02-01,665658635
39,2013-03-01,594326858
40,2013-04-01,334166230
41,2013-05-01,137043153
42,2013-06-01,104301243
43,2013-07-01,100172183
44,2013-08-01,88281483
45,2013-09-01,111133056
46,2013-10-01,279597282
47,2013-11-01,417577574
48,2013-12-01,887781365
49,2014-01-01,764248741
50,2014-02-01,691333734
51,2014-03-01,607601732
52,2014-04-01,356731347
53,2014-05-01,217455508
54,2014-06-01,142988230
55,2014-07-01,123881711
56,2014-08-01,125494774
57,2014-09-01,150768256
58,2014-10-01,243462159
59,2014-11-01,548003362
60,2014-12-01,765690137
61,2015-01-01,973488627
62,2015-02-01,849507329
63,2015-03-01,805947734
64,2015-04-01,519791564
65,2015-05-01,201377763
66,2015-06-01,158975232
67,2015-07-01,136268492
68,2015-08-01,134338829
69,2015-09-01,140656498
70,2015-10-01,263382490
71,2015-11-01,446441436
72,2015-12-01,857117483
73,2016-01-01,1054798391
74,2016-02-01,734725603
75,2016-03-01,695781106
76,2016-04-01,295998944
77,2016-05-01,236143467
78,2016-06-01,171684017
79,2016-07-01,138075279
80,2016-08-01,160056212
81,2016-09-01,163890636
82,2016-10-01,316006137
83,2016-11-01,647070169
84,2016-12-01,1137564048
85,2017-01-01,1312884241
86,2017-02-01,996017415
87,2017-03-01,841856252
88,2017-04-01,563459448
89,2017-05-01,272929907
90,2017-06-01,180444561
91,2017-07-01,174536518
92,2017-08-01,173745836
93,2017-09-01,176760475
94,2017-10-01,326599327
95,2017-11-01,643707802
96,2017-12-01,801548925
97,2018-01-01,1119104535
98,2018-02-01,941616535
99,2018-03-01,871889164
100,2018-04-01,448841130
101,2018-05-01,271686533
102,2018-06-01,184495679
103,2018-07-01,185628422
104,2018-08-01,160231303
105,2018-09-01,193199829
106,2018-10-01,287561348
107,2018-11-01,622477408
108,2018-12-01,1123092450
109,2019-01-01,1212495725
110,2019-02-01,1012163669
111,2019-03-01,884876366
112,2019-04-01,639747875
113,2019-05-01,279315300
114,2019-06-01,176276180
115,2019-07-01,194207297
116,2019-08-01,170253689
117,2019-09-01,199832828
118,2019-10-01,256005679
119,2019-11-01,382548298
120,2019-12-01,892768024
121,2020-01-01,1205498625
122,2020-02-01,999970995
123,2020-03-01,855838043
124,2020-04-01,643623988
